"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"5. PhysChem Descriptors"	"4. AtomPairs"	"AUROC"	" MOR"	" Scaffold"	1.26579577283706e-10	"ranksums"	"<0.05"
"4. AtomPairs"	"1. MorganBits"	"AUROC"	" MOR"	" Scaffold"	0.407711376645686	"ranksums"	">=0.05"
"4. AtomPairs"	"2. MorganCounts"	"AUROC"	" MOR"	" Scaffold"	0.351636969005001	"ranksums"	">=0.05"
"4. AtomPairs"	"3. MACCS"	"AUROC"	" MOR"	" Scaffold"	0.0371052625532809	"ranksums"	"<0.05"
"4. AtomPairs"	"0. RDKit Descriptors"	"AUROC"	" MOR"	" Scaffold"	0.0890916344277198	"ranksums"	">=0.05"
"4. AtomPairs"	"5. PhysChem Descriptors"	"AUROC"	" MOR"	" Scaffold"	1.26579577283706e-10	"ranksums"	"<0.05"
"4. AtomPairs"	"4. AtomPairs"	"AUROC"	" MOR"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"1. MorganBits"	"AUROC"	"DOR"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"AUROC"	"DOR"	" Scaffold"	0.801554937881844	"ranksums"	">=0.05"
"1. MorganBits"	"3. MACCS"	"AUROC"	"DOR"	" Scaffold"	0.000173172648192284	"ranksums"	"<0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"AUROC"	"DOR"	" Scaffold"	0.188236525377403	"ranksums"	">=0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"AUROC"	"DOR"	" Scaffold"	1.94330131592334e-09	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"AUROC"	"DOR"	" Scaffold"	0.700685660700552	"ranksums"	">=0.05"
"2. MorganCounts"	"1. MorganBits"	"AUROC"	"DOR"	" Scaffold"	0.801554937881844	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"AUROC"	"DOR"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"AUROC"	"DOR"	" Scaffold"	3.95538737788224e-05	"ranksums"	"<0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"AUROC"	"DOR"	" Scaffold"	0.0947927923554053	"ranksums"	">=0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"AUROC"	"DOR"	" Scaffold"	7.04362077704064e-10	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"AUROC"	"DOR"	" Scaffold"	0.534635240703929	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"AUROC"	"DOR"	" Scaffold"	0.000173172648192284	"ranksums"	"<0.05"
"3. MACCS"	"2. MorganCounts"	"AUROC"	"DOR"	" Scaffold"	3.95538737788224e-05	"ranksums"	"<0.05"
"3. MACCS"	"3. MACCS"	"AUROC"	"DOR"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"AUROC"	"DOR"	" Scaffold"	0.0159585842612662	"ranksums"	"<0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"AUROC"	"DOR"	" Scaffold"	3.05659986835938e-05	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"AUROC"	"DOR"	" Scaffold"	0.000245856875452165	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"AUROC"	"DOR"	" Scaffold"	0.188236525377403	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"AUROC"	"DOR"	" Scaffold"	0.0947927923554053	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"3. MACCS"	"AUROC"	"DOR"	" Scaffold"	0.0159585842612662	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"AUROC"	"DOR"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"AUROC"	"DOR"	" Scaffold"	4.8848156981151e-08	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"4. AtomPairs"	"AUROC"	"DOR"	" Scaffold"	0.287111930123287	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"1. MorganBits"	"AUROC"	"DOR"	" Scaffold"	1.94330131592334e-09	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"2. MorganCounts"	"AUROC"	"DOR"	" Scaffold"	7.04362077704064e-10	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"3. MACCS"	"AUROC"	"DOR"	" Scaffold"	3.05659986835938e-05	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"0. RDKit Descriptors"	"AUROC"	"DOR"	" Scaffold"	4.8848156981151e-08	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"5. PhysChem Descriptors"	"AUROC"	"DOR"	" Scaffold"	1	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"4. AtomPairs"	"AUROC"	"DOR"	" Scaffold"	2.55150761303332e-09	"ranksums"	"<0.05"
"4. AtomPairs"	"1. MorganBits"	"AUROC"	"DOR"	" Scaffold"	0.700685660700552	"ranksums"	">=0.05"
"4. AtomPairs"	"2. MorganCounts"	"AUROC"	"DOR"	" Scaffold"	0.534635240703929	"ranksums"	">=0.05"
"4. AtomPairs"	"3. MACCS"	"AUROC"	"DOR"	" Scaffold"	0.000245856875452165	"ranksums"	"<0.05"
"4. AtomPairs"	"0. RDKit Descriptors"	"AUROC"	"DOR"	" Scaffold"	0.287111930123287	"ranksums"	">=0.05"
"4. AtomPairs"	"5. PhysChem Descriptors"	"AUROC"	"DOR"	" Scaffold"	2.55150761303332e-09	"ranksums"	"<0.05"
"4. AtomPairs"	"4. AtomPairs"	"AUROC"	"DOR"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"1. MorganBits"	"AUROC"	"KOR"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"AUROC"	"KOR"	" Scaffold"	0.870810804536042	"ranksums"	">=0.05"
"1. MorganBits"	"3. MACCS"	"AUROC"	"KOR"	" Scaffold"	0.00712883007556135	"ranksums"	"<0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"AUROC"	"KOR"	" Scaffold"	0.214276509861477	"ranksums"	">=0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"AUROC"	"KOR"	" Scaffold"	1.11072752878266e-07	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"AUROC"	"KOR"	" Scaffold"	0.778783968942289	"ranksums"	">=0.05"
"2. MorganCounts"	"1. MorganBits"	"AUROC"	"KOR"	" Scaffold"	0.870810804536042	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"AUROC"	"KOR"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"AUROC"	"KOR"	" Scaffold"	0.00453105443653246	"ranksums"	"<0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"AUROC"	"KOR"	" Scaffold"	0.183321226222508	"ranksums"	">=0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"AUROC"	"KOR"	" Scaffold"	1.53366757204848e-07	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"AUROC"	"KOR"	" Scaffold"	0.615195978744855	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"AUROC"	"KOR"	" Scaffold"	0.00712883007556135	"ranksums"	"<0.05"
"3. MACCS"	"2. MorganCounts"	"AUROC"	"KOR"	" Scaffold"	0.00453105443653246	"ranksums"	"<0.05"
"3. MACCS"	"3. MACCS"	"AUROC"	"KOR"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"AUROC"	"KOR"	" Scaffold"	0.314732713493566	"ranksums"	">=0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"AUROC"	"KOR"	" Scaffold"	4.78850167745837e-05	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"AUROC"	"KOR"	" Scaffold"	0.024625161703711	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"AUROC"	"KOR"	" Scaffold"	0.214276509861477	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"AUROC"	"KOR"	" Scaffold"	0.183321226222508	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"3. MACCS"	"AUROC"	"KOR"	" Scaffold"	0.314732713493566	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"AUROC"	"KOR"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"AUROC"	"KOR"	" Scaffold"	5.65702730771461e-06	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"4. AtomPairs"	"AUROC"	"KOR"	" Scaffold"	0.325526586779152	"ranksums"	">=0.05"
