"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"4. AtomPairs"	"3. MACCS"	"RMSE"	"ESOL"	" Scaffold"	0.813005287611997	"ranksums"	">=0.05"
"4. AtomPairs"	"0. RDKit Descriptors"	"RMSE"	"ESOL"	" Scaffold"	5.77298630087336e-11	"ranksums"	"<0.05"
"4. AtomPairs"	"5. PhysChem Descriptors"	"RMSE"	"ESOL"	" Scaffold"	3.50975769680847e-11	"ranksums"	"<0.05"
"4. AtomPairs"	"4. AtomPairs"	"RMSE"	"ESOL"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"1. MorganBits"	"RMSE"	"FreeSolv"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"RMSE"	"FreeSolv"	" Scaffold"	0.756201338941347	"ranksums"	">=0.05"
"1. MorganBits"	"3. MACCS"	"RMSE"	"FreeSolv"	" Scaffold"	4.00553278177826e-10	"ranksums"	"<0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"RMSE"	"FreeSolv"	" Scaffold"	3.95610339636122e-07	"ranksums"	"<0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"RMSE"	"FreeSolv"	" Scaffold"	6.26388824951319e-08	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"RMSE"	"FreeSolv"	" Scaffold"	0.113664747815963	"ranksums"	">=0.05"
"2. MorganCounts"	"1. MorganBits"	"RMSE"	"FreeSolv"	" Scaffold"	0.756201338941347	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"RMSE"	"FreeSolv"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"RMSE"	"FreeSolv"	" Scaffold"	5.84056947498936e-10	"ranksums"	"<0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"RMSE"	"FreeSolv"	" Scaffold"	1.06700555570554e-06	"ranksums"	"<0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"RMSE"	"FreeSolv"	" Scaffold"	8.70056716251292e-08	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"RMSE"	"FreeSolv"	" Scaffold"	0.178501674863836	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"RMSE"	"FreeSolv"	" Scaffold"	4.00553278177826e-10	"ranksums"	"<0.05"
"3. MACCS"	"2. MorganCounts"	"RMSE"	"FreeSolv"	" Scaffold"	5.84056947498936e-10	"ranksums"	"<0.05"
"3. MACCS"	"3. MACCS"	"RMSE"	"FreeSolv"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"RMSE"	"FreeSolv"	" Scaffold"	0.0308869505469348	"ranksums"	"<0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"RMSE"	"FreeSolv"	" Scaffold"	0.0129994824928381	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"RMSE"	"FreeSolv"	" Scaffold"	1.25557069040687e-08	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"RMSE"	"FreeSolv"	" Scaffold"	3.95610339636122e-07	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"RMSE"	"FreeSolv"	" Scaffold"	1.06700555570554e-06	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"3. MACCS"	"RMSE"	"FreeSolv"	" Scaffold"	0.0308869505469348	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"RMSE"	"FreeSolv"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"RMSE"	"FreeSolv"	" Scaffold"	0.689760957275894	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"4. AtomPairs"	"RMSE"	"FreeSolv"	" Scaffold"	0.0002189312882073	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"1. MorganBits"	"RMSE"	"FreeSolv"	" Scaffold"	6.26388824951319e-08	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"2. MorganCounts"	"RMSE"	"FreeSolv"	" Scaffold"	8.70056716251292e-08	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"3. MACCS"	"RMSE"	"FreeSolv"	" Scaffold"	0.0129994824928381	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"0. RDKit Descriptors"	"RMSE"	"FreeSolv"	" Scaffold"	0.689760957275894	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"5. PhysChem Descriptors"	"RMSE"	"FreeSolv"	" Scaffold"	1	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"4. AtomPairs"	"RMSE"	"FreeSolv"	" Scaffold"	3.26108634521542e-05	"ranksums"	"<0.05"
"4. AtomPairs"	"1. MorganBits"	"RMSE"	"FreeSolv"	" Scaffold"	0.113664747815963	"ranksums"	">=0.05"
"4. AtomPairs"	"2. MorganCounts"	"RMSE"	"FreeSolv"	" Scaffold"	0.178501674863836	"ranksums"	">=0.05"
"4. AtomPairs"	"3. MACCS"	"RMSE"	"FreeSolv"	" Scaffold"	1.25557069040687e-08	"ranksums"	"<0.05"
"4. AtomPairs"	"0. RDKit Descriptors"	"RMSE"	"FreeSolv"	" Scaffold"	0.0002189312882073	"ranksums"	"<0.05"
"4. AtomPairs"	"5. PhysChem Descriptors"	"RMSE"	"FreeSolv"	" Scaffold"	3.26108634521542e-05	"ranksums"	"<0.05"
"4. AtomPairs"	"4. AtomPairs"	"RMSE"	"FreeSolv"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"1. MorganBits"	"RMSE"	"Lipop"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"RMSE"	"Lipop"	" Scaffold"	3.95538737788224e-05	"ranksums"	"<0.05"
"1. MorganBits"	"3. MACCS"	"RMSE"	"Lipop"	" Scaffold"	0.72271979157106	"ranksums"	">=0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"RMSE"	"Lipop"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"RMSE"	"Lipop"	" Scaffold"	0.00210389310941795	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"RMSE"	"Lipop"	" Scaffold"	3.26108634521542e-05	"ranksums"	"<0.05"
"2. MorganCounts"	"1. MorganBits"	"RMSE"	"Lipop"	" Scaffold"	3.95538737788224e-05	"ranksums"	"<0.05"
"2. MorganCounts"	"2. MorganCounts"	"RMSE"	"Lipop"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"RMSE"	"Lipop"	" Scaffold"	0.000136524284332858	"ranksums"	"<0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"RMSE"	"Lipop"	" Scaffold"	1.94330131592334e-09	"ranksums"	"<0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"RMSE"	"Lipop"	" Scaffold"	5.22484569559294e-09	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"RMSE"	"Lipop"	" Scaffold"	0.824495751654771	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"RMSE"	"Lipop"	" Scaffold"	0.72271979157106	"ranksums"	">=0.05"
"3. MACCS"	"2. MorganCounts"	"RMSE"	"Lipop"	" Scaffold"	0.000136524284332858	"ranksums"	"<0.05"
"3. MACCS"	"3. MACCS"	"RMSE"	"Lipop"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"RMSE"	"Lipop"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"RMSE"	"Lipop"	" Scaffold"	0.00155687902927202	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"RMSE"	"Lipop"	" Scaffold"	0.000327375625579428	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"RMSE"	"Lipop"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"RMSE"	"Lipop"	" Scaffold"	1.94330131592334e-09	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"3. MACCS"	"RMSE"	"Lipop"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"RMSE"	"Lipop"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"RMSE"	"Lipop"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
