"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"   RF"	"GCN"	"RMSE"	" CYP3A4"	"random"	3.05659986835938e-05	"ranksums"	"<0.05"
"   RF"	"GIN"	"RMSE"	" CYP3A4"	"random"	0.564214705145786	"ranksums"	">=0.05"
"   RF"	"  MolBERT"	"RMSE"	" CYP3A4"	"random"	9.44494715123786e-11	"ranksums"	"<0.05"
"   RF"	"GROVER"	"RMSE"	" CYP3A4"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   SVM"	"   RF"	"RMSE"	" CYP3A4"	"random"	7.76173468960547e-11	"ranksums"	"<0.05"
"   SVM"	"   SVM"	"RMSE"	" CYP3A4"	"random"	1	"ranksums"	">=0.05"
"   SVM"	"   XGBoost"	"RMSE"	" CYP3A4"	"random"	6.8120053408138e-09	"ranksums"	"<0.05"
"   SVM"	" RNN"	"RMSE"	" CYP3A4"	"random"	0.0345005081441225	"ranksums"	"<0.05"
"   SVM"	"GCN"	"RMSE"	" CYP3A4"	"random"	2.05326829901647e-10	"ranksums"	"<0.05"
"   SVM"	"GIN"	"RMSE"	" CYP3A4"	"random"	5.22831602652652e-11	"ranksums"	"<0.05"
"   SVM"	"  MolBERT"	"RMSE"	" CYP3A4"	"random"	0.0810611055553891	"ranksums"	">=0.05"
"   SVM"	"GROVER"	"RMSE"	" CYP3A4"	"random"	0.000100947188812739	"ranksums"	"<0.05"
"   XGBoost"	"   RF"	"RMSE"	" CYP3A4"	"random"	1.41526719916689e-07	"ranksums"	"<0.05"
"   XGBoost"	"   SVM"	"RMSE"	" CYP3A4"	"random"	6.8120053408138e-09	"ranksums"	"<0.05"
"   XGBoost"	"   XGBoost"	"RMSE"	" CYP3A4"	"random"	1	"ranksums"	">=0.05"
"   XGBoost"	" RNN"	"RMSE"	" CYP3A4"	"random"	5.84056947498936e-10	"ranksums"	"<0.05"
"   XGBoost"	"GCN"	"RMSE"	" CYP3A4"	"random"	0.0105365252586533	"ranksums"	"<0.05"
"   XGBoost"	"GIN"	"RMSE"	" CYP3A4"	"random"	6.26388824951319e-08	"ranksums"	"<0.05"
"   XGBoost"	"  MolBERT"	"RMSE"	" CYP3A4"	"random"	6.26388824951319e-08	"ranksums"	"<0.05"
"   XGBoost"	"GROVER"	"RMSE"	" CYP3A4"	"random"	1.04155088815095e-10	"ranksums"	"<0.05"
" RNN"	"   RF"	"RMSE"	" CYP3A4"	"random"	3.87871447590138e-11	"ranksums"	"<0.05"
" RNN"	"   SVM"	"RMSE"	" CYP3A4"	"random"	0.0345005081441225	"ranksums"	"<0.05"
" RNN"	"   XGBoost"	"RMSE"	" CYP3A4"	"random"	5.84056947498936e-10	"ranksums"	"<0.05"
" RNN"	" RNN"	"RMSE"	" CYP3A4"	"random"	1	"ranksums"	">=0.05"
" RNN"	"GCN"	"RMSE"	" CYP3A4"	"random"	7.03394552480196e-11	"ranksums"	"<0.05"
" RNN"	"GIN"	"RMSE"	" CYP3A4"	"random"	3.87871447590138e-11	"ranksums"	"<0.05"
" RNN"	"  MolBERT"	"RMSE"	" CYP3A4"	"random"	0.000603610841366096	"ranksums"	"<0.05"
" RNN"	"GROVER"	"RMSE"	" CYP3A4"	"random"	0.0428195073176977	"ranksums"	"<0.05"
"GCN"	"   RF"	"RMSE"	" CYP3A4"	"random"	3.05659986835938e-05	"ranksums"	"<0.05"
"GCN"	"   SVM"	"RMSE"	" CYP3A4"	"random"	2.05326829901647e-10	"ranksums"	"<0.05"
"GCN"	"   XGBoost"	"RMSE"	" CYP3A4"	"random"	0.0105365252586533	"ranksums"	"<0.05"
"GCN"	" RNN"	"RMSE"	" CYP3A4"	"random"	7.03394552480196e-11	"ranksums"	"<0.05"
"GCN"	"GCN"	"RMSE"	" CYP3A4"	"random"	1	"ranksums"	">=0.05"
"GCN"	"GIN"	"RMSE"	" CYP3A4"	"random"	3.47852602805345e-05	"ranksums"	"<0.05"
"GCN"	"  MolBERT"	"RMSE"	" CYP3A4"	"random"	4.00553278177826e-10	"ranksums"	"<0.05"
"GCN"	"GROVER"	"RMSE"	" CYP3A4"	"random"	3.17521724866798e-11	"ranksums"	"<0.05"
"GIN"	"   RF"	"RMSE"	" CYP3A4"	"random"	0.564214705145786	"ranksums"	">=0.05"
