"split_type"	"mol_rep"	"mol_prop"	"model_name"	"mean_metric_score.RMSE"	"std_metric_score.RMSE"	"mean_metric_score.MAE"	"std_metric_score.MAE"	"mean_metric_score.R2"	"std_metric_score.R2"	"mean_metric_score.Pearson_R"	"std_metric_score.Pearson_R"
"Scaffold"	"2. MorganCounts"	"DOR"	"SVM"	2.47628680717486	0.274700430687936	1.84693150373864	0.173483709378371	0.323628383730064	0.169345973099779	0.678904868085935	0.0658312532189499
"Scaffold"	"3. MACCS"	"DOR"	"SVM"	2.56423822208971	0.227232846948409	2.01533251308571	0.178549061137108	0.28166257729445	0.126305126718126	0.564146777616516	0.084112893283625
"Scaffold"	"0. RDKit Descriptors"	"DOR"	"SVM"	2.31076472653531	0.210663862933401	1.78202489261298	0.170833357533271	0.413716538324684	0.116440027657248	0.654929057564933	0.0782389069380072
"Scaffold"	"5. PhysChem Descriptors"	"DOR"	"SVM"	4.2211031689963	1.88775569257177	3.36824558555883	1.5987769860981	-1.31331024960577	2.80765701039649	0.275314099038599	0.147566345586098
"Scaffold"	"4. AtomPairs"	"DOR"	"SVM"	3.89690279243528	0.790609784118935	2.57762801597166	0.360076155630616	-0.703656611925501	0.689389494736851	0.487548501021335	0.110136205722811
"Scaffold"	"1. MorganBits"	"DOR"	"XGBoost"	2.07610597774579	0.201758066652734	1.60921534097238	0.155394175373279	0.527869017338028	0.0941172858615961	0.737559733970449	0.0672477896322155
"Scaffold"	"2. MorganCounts"	"DOR"	"XGBoost"	2.07555270285915	0.199463127661503	1.60702706467794	0.148468775865627	0.527139045844871	0.0983579762108347	0.736117678572969	0.0694915659038962
"Scaffold"	"3. MACCS"	"DOR"	"XGBoost"	2.26137411178198	0.21653539022052	1.76011851523819	0.165251476290562	0.440794654895603	0.104320641834827	0.672776870774213	0.075876349259076
"Scaffold"	"0. RDKit Descriptors"	"DOR"	"XGBoost"	2.18879241824933	0.204301851346767	1.6946537732002	0.172325043906782	0.473793201794777	0.107674742394001	0.695294313173099	0.0749634504025743
"Scaffold"	"5. PhysChem Descriptors"	"DOR"	"XGBoost"	2.69273776369542	0.162169807204673	2.12436214376633	0.153406342158953	0.210431444044509	0.0976422690944382	0.482403557840129	0.0907884737555275
"Scaffold"	"4. AtomPairs"	"DOR"	"XGBoost"	2.06187125971715	0.195588376230062	1.61095366121478	0.170167434615467	0.534373458251476	0.0880192138774186	0.738711194310353	0.0581130656063601
"Scaffold"	"1. MorganBits"	"KOR"	"RF"	2.04224868408089	0.188397707581078	1.53183860458801	0.138492693810131	0.591829592975782	0.0693684556321628	0.774426219657911	0.0436735567078313
"Scaffold"	"2. MorganCounts"	"KOR"	"RF"	2.03015300969903	0.204275239637707	1.52269374524112	0.146781519124093	0.596449658833886	0.0736794725818967	0.776843769718959	0.0461065155601266
"Scaffold"	"3. MACCS"	"KOR"	"RF"	2.29729918681577	0.203868835908055	1.73657006915993	0.15005993745577	0.483235347076675	0.0882550794721762	0.702496824711934	0.0612670386140854
"Scaffold"	"0. RDKit Descriptors"	"KOR"	"RF"	2.18638156247588	0.213711665461658	1.66535394129865	0.152090649035209	0.529805256038166	0.098233167628991	0.73563108376221	0.0683053332703888
"Scaffold"	"5. PhysChem Descriptors"	"KOR"	"RF"	2.53810379466253	0.167399205374471	1.97146602959136	0.124248552929455	0.368768763844043	0.0994041224798663	0.614100521782961	0.0830900982975755
"Scaffold"	"4. AtomPairs"	"KOR"	"RF"	2.06203415062513	0.198957441795733	1.56357577537064	0.151192289842578	0.58242317652232	0.082779937571268	0.770995989640078	0.0523008127158479
"Scaffold"	"1. MorganBits"	"KOR"	"SVM"	2.53690131326872	0.243916218092978	1.90732189661062	0.128600633094122	0.365620986593319	0.145592173955529	0.682875013995462	0.0613360173572757
