"split_type"	"mol_rep"	"mol_prop"	"model_name"	"mean_metric_score.AUROC"	"std_metric_score.AUROC"	"mean_metric_score.AUPRC"	"std_metric_score.AUPRC"	"mean_metric_score.Precision_PPV"	"std_metric_score.Precision_PPV"	"mean_metric_score.Precision_NPV"	"std_metric_score.Precision_NPV"
"Scaffold"	"2. MorganCounts"	" MOR"	"XGBoost"	0.89290364322723	0.0380801935307345	0.788957473068117	0.0984760139375421	0.63539299366442	0.108742241531794	0.93207945726565	0.0247105503595421
"Scaffold"	"3. MACCS"	" MOR"	"XGBoost"	0.861032054721776	0.0405735383763754	0.73504024867358	0.100277190004581	0.613516695494628	0.12489185461699	0.907423939834592	0.0391353203017314
"Scaffold"	"0. RDKit Descriptors"	" MOR"	"XGBoost"	0.878354756086914	0.0398377791883894	0.762942642207992	0.0832090830142626	0.634341280933711	0.116715249033739	0.920273225911435	0.0348345266761943
"Scaffold"	"5. PhysChem Descriptors"	" MOR"	"XGBoost"	0.770943763640981	0.0454841664146606	0.597814255524703	0.110575509685881	0.521618008917228	0.120409632865887	0.862984364470835	0.0370123131812449
"Scaffold"	"4. AtomPairs"	" MOR"	"XGBoost"	0.891342684356206	0.0386029091346828	0.790568269204697	0.0949257919131253	0.645402548006788	0.131049161660815	0.921492172104163	0.0386133409208195
"Scaffold"	"1. MorganBits"	"DOR"	"RF"	0.866095260162413	0.0402724696273915	0.64163257817101	0.0855071663795201	0.508324056412981	0.0946213074376832	0.947772233470834	0.027195965278114
"Scaffold"	"2. MorganCounts"	"DOR"	"RF"	0.867872149270851	0.0389465127478023	0.656100684011164	0.0937722168223869	0.515174152475983	0.109362248352617	0.947237834818551	0.0296327647147565
"Scaffold"	"3. MACCS"	"DOR"	"RF"	0.818353125488975	0.0438011141398408	0.541334441193726	0.0821532121758103	0.481409553730541	0.105511800653887	0.925844122364955	0.0337313292428207
"Scaffold"	"0. RDKit Descriptors"	"DOR"	"RF"	0.848755710473368	0.0434449583071733	0.615349352331428	0.0945166292251818	0.514608032265097	0.120488552824817	0.932991338088247	0.0341818741195107
"Scaffold"	"5. PhysChem Descriptors"	"DOR"	"RF"	0.755662807179343	0.0536314680213422	0.510888083217056	0.103794544837398	0.452264214940942	0.105242366522934	0.883276627115622	0.043227092693865
"Scaffold"	"4. AtomPairs"	"DOR"	"RF"	0.861195883529199	0.0396882804478993	0.651973512679775	0.101826567076352	0.516824247223129	0.127072117678272	0.940562195730183	0.0308205431777175
"Scaffold"	"1. MorganBits"	"DOR"	"SVM"	0.837147910381883	0.0379451798828471	0.598230587187021	0.106286924972247	0.506287770494148	0.120008862430557	0.924803756861307	0.0384468188026887
"Scaffold"	"2. MorganCounts"	"DOR"	"SVM"	0.820950409619581	0.0380720506838873	0.55327607324264	0.103647919485538	0.463847161141221	0.112397310131844	0.925544439520586	0.0337314337350163
"Scaffold"	"3. MACCS"	"DOR"	"SVM"	0.787355732070277	0.0468813609516115	0.474082470723722	0.116707009890691	0.443573024616647	0.098688553695362	0.915982091758246	0.0371480356670611
"Scaffold"	"0. RDKit Descriptors"	"DOR"	"SVM"	0.818090000840667	0.0417476853176404	0.536907385207346	0.102419221916229	0.470228911471576	0.0959782293716908	0.926131657093828	0.0351458484078417
"Scaffold"	"5. PhysChem Descriptors"	"DOR"	"SVM"	0.642477692463519	0.0769963012687396	0.343379228033938	0.105095504676496	0.371759513266535	0.115895253853041	0.85273758951092	0.0612506388400548
"Scaffold"	"4. AtomPairs"	"DOR"	"SVM"	0.810080024382234	0.0310759794104914	0.524181840480329	0.108458887339035	0.461043655171674	0.113461720575302	0.921567673766835	0.0380688924367448
"Scaffold"	"1. MorganBits"	"DOR"	"XGBoost"	0.853486174954835	0.0451518621936583	0.628918048404461	0.0836466611276179	0.534898303065086	0.121092577265331	0.933894340928745	0.0312951218516186
"Scaffold"	"2. MorganCounts"	"DOR"	"XGBoost"	0.852344235128574	0.0467403783868569	0.630899817366461	0.0906418564148234	0.526478985590585	0.138119374111763	0.931473487761933	0.0366074849752676
"Scaffold"	"3. MACCS"	"DOR"	"XGBoost"	0.822893069041883	0.0453623677327393	0.526425080721641	0.115545809696214	0.473635508198044	0.116116450487022	0.926542529187058	0.0419246690103425
"Scaffold"	"0. RDKit Descriptors"	"DOR"	"XGBoost"	0.827900196002072	0.0483597820194155	0.569685765474326	0.0984758972506743	0.478361358545315	0.124066080122306	0.931380883574763	0.0374643592020964
"Scaffold"	"5. PhysChem Descriptors"	"DOR"	"XGBoost"	0.723078013620825	0.0644830676891709	0.464933511664966	0.106033635588985	0.438083809439871	0.109250429829848	0.880824023640587	0.0485084269201142
"Scaffold"	"4. AtomPairs"	"DOR"	"XGBoost"	0.85555037538664	0.0421192398744113	0.631455863251831	0.0969276723105641	0.494260581860018	0.116179985009005	0.942928471305201	0.0355389843549541
"Scaffold"	"1. MorganBits"	"KOR"	"RF"	0.901385996243694	0.0341910170964342	0.799656671981843	0.0667655251740981	0.681775683443246	0.0787404966187891	0.929611735063024	0.0296889419929989
"Scaffold"	"2. MorganCounts"	"KOR"	"RF"	0.902771963582725	0.036105568990074	0.807500647101606	0.0705946672036492	0.681187411224534	0.0908984294969112	0.930238277199246	0.030486508653222
"Scaffold"	"3. MACCS"	"KOR"	"RF"	0.876072378542817	0.037718220784096	0.752177457430533	0.0742287712140754	0.656878499026027	0.0986035281751462	0.912121692272806	0.0303623199154206
"Scaffold"	"0. RDKit Descriptors"	"KOR"	"RF"	0.888299502865291	0.0412480412099236	0.789059103093049	0.0722567534997365	0.652284175103511	0.105689544506614	0.920797303960138	0.0423834238380876
"Scaffold"	"5. PhysChem Descriptors"	"KOR"	"RF"	0.820998451513018	0.0561277155260465	0.693608678496425	0.097411508744482	0.596395276675891	0.113804150006031	0.885901947934017	0.0407367133784133
"Scaffold"	"4. AtomPairs"	"KOR"	"RF"	0.897800924918172	0.0391912520990168	0.806546391354085	0.0732351344773595	0.688317833784589	0.101184287766263	0.925611670751732	0.0450542670419127
"Scaffold"	"1. MorganBits"	"KOR"	"SVM"	0.86032001810675	0.0375036790446591	0.730594589447766	0.0694238245582167	0.635496274726565	0.0965271616523014	0.895090769770391	0.0430897149990043
"Scaffold"	"2. MorganCounts"	"KOR"	"SVM"	0.863624331000698	0.035427009791448	0.722224674196734	0.0768736000596742	0.614507707671691	0.0863655719103046	0.907900532056472	0.0421983150782478
