"fold"	"mol_prop"	"split_type"	"sim_type"	"sim"
19	"ESOL"	"Random"	"Training vs Test"	0.56770037431105
20	"ESOL"	"Random"	"Training vs Test"	0.556428553256313
21	"ESOL"	"Random"	"Training vs Test"	0.578786060873386
22	"ESOL"	"Random"	"Training vs Test"	0.578135733451464
23	"ESOL"	"Random"	"Training vs Test"	0.586594223976135
24	"ESOL"	"Random"	"Training vs Test"	0.573985457947824
25	"ESOL"	"Random"	"Training vs Test"	0.564460622393979
26	"ESOL"	"Random"	"Training vs Test"	0.598673425812637
27	"ESOL"	"Random"	"Training vs Test"	0.582119297005434
28	"ESOL"	"Random"	"Training vs Test"	0.526424251298989
29	"ESOL"	"Random"	"Training vs Test"	0.591626818860527
0	"FreeSolv"	"Random"	"Training vs Test"	0.530085963125412
1	"FreeSolv"	"Random"	"Training vs Test"	0.567013091995166
2	"FreeSolv"	"Random"	"Training vs Test"	0.532121476531029
3	"FreeSolv"	"Random"	"Training vs Test"	0.540183833929209
4	"FreeSolv"	"Random"	"Training vs Test"	0.560315604851796
5	"FreeSolv"	"Random"	"Training vs Test"	0.536359167557496
6	"FreeSolv"	"Random"	"Training vs Test"	0.537820913012211
7	"FreeSolv"	"Random"	"Training vs Test"	0.577950937358233
8	"FreeSolv"	"Random"	"Training vs Test"	0.568733765758001
9	"FreeSolv"	"Random"	"Training vs Test"	0.573057257441374
10	"FreeSolv"	"Random"	"Training vs Test"	0.553949622466014
11	"FreeSolv"	"Random"	"Training vs Test"	0.604765676535093
12	"FreeSolv"	"Random"	"Training vs Test"	0.558478978963999
13	"FreeSolv"	"Random"	"Training vs Test"	0.55309021633405
14	"FreeSolv"	"Random"	"Training vs Test"	0.550412150758963
15	"FreeSolv"	"Random"	"Training vs Test"	0.521464601732217
16	"FreeSolv"	"Random"	"Training vs Test"	0.536171945929527
17	"FreeSolv"	"Random"	"Training vs Test"	0.555488055027448
18	"FreeSolv"	"Random"	"Training vs Test"	0.527826373852216
19	"FreeSolv"	"Random"	"Training vs Test"	0.525976725495779
20	"FreeSolv"	"Random"	"Training vs Test"	0.5460362636126
21	"FreeSolv"	"Random"	"Training vs Test"	0.564937607600139
22	"FreeSolv"	"Random"	"Training vs Test"	0.54384268613962
23	"FreeSolv"	"Random"	"Training vs Test"	0.537623761479671
24	"FreeSolv"	"Random"	"Training vs Test"	0.507119374779554
25	"FreeSolv"	"Random"	"Training vs Test"	0.526961599175747
26	"FreeSolv"	"Random"	"Training vs Test"	0.544583362799424
27	"FreeSolv"	"Random"	"Training vs Test"	0.570130847967588
28	"FreeSolv"	"Random"	"Training vs Test"	0.565669521460166
29	"FreeSolv"	"Random"	"Training vs Test"	0.563549217581749
0	"Lipop"	"Random"	"Training vs Test"	0.647646098051752
1	"Lipop"	"Random"	"Training vs Test"	0.653155376797631
2	"Lipop"	"Random"	"Training vs Test"	0.63452161138966
3	"Lipop"	"Random"	"Training vs Test"	0.632022282623109
4	"Lipop"	"Random"	"Training vs Test"	0.637093358912638
5	"Lipop"	"Random"	"Training vs Test"	0.640993817824693
6	"Lipop"	"Random"	"Training vs Test"	0.637118657288097
7	"Lipop"	"Random"	"Training vs Test"	0.633891492443425
8	"Lipop"	"Random"	"Training vs Test"	0.640017765547548
9	"Lipop"	"Random"	"Training vs Test"	0.644140008517674
10	"Lipop"	"Random"	"Training vs Test"	0.648279103494826
11	"Lipop"	"Random"	"Training vs Test"	0.636975894939332
12	"Lipop"	"Random"	"Training vs Test"	0.63615759976563
13	"Lipop"	"Random"	"Training vs Test"	0.657988937553905
14	"Lipop"	"Random"	"Training vs Test"	0.655719167881069
15	"Lipop"	"Random"	"Training vs Test"	0.633433141417447
16	"Lipop"	"Random"	"Training vs Test"	0.654343057636704
17	"Lipop"	"Random"	"Training vs Test"	0.655539791392429
18	"Lipop"	"Random"	"Training vs Test"	0.636928960929314
19	"Lipop"	"Random"	"Training vs Test"	0.639807673685607
20	"Lipop"	"Random"	"Training vs Test"	0.641280823520252
21	"Lipop"	"Random"	"Training vs Test"	0.645343921120678
22	"Lipop"	"Random"	"Training vs Test"	0.636872133648112
23	"Lipop"	"Random"	"Training vs Test"	0.652346207059565
24	"Lipop"	"Random"	"Training vs Test"	0.636209194433121
25	"Lipop"	"Random"	"Training vs Test"	0.638194468049776
26	"Lipop"	"Random"	"Training vs Test"	0.648274333384775
27	"Lipop"	"Random"	"Training vs Test"	0.653413386678412
28	"Lipop"	"Random"	"Training vs Test"	0.646401953271457
29	"Lipop"	"Random"	"Training vs Test"	0.638762530223245
0	" BACE"	"Scaffold"	" Training vs Validation"	0.71081884412576
1	" BACE"	"Scaffold"	" Training vs Validation"	0.730655575923572
