"X"	"metric_score"	"metric_name"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"	"edge_removed"	"edge_pct"
417	0.65929203539823	"AUROC"	" CYP2D6"	"RF"	26	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
424	0.422149122807017	"AUROC"	" CYP2D6"	"RF"	26	"Random"	"cutoff6"	" Original"	1.30434782608696
425	0.634955752212389	"AUROC"	" CYP2D6"	"RF"	26	"Random"	"cutoff6"	"Edge Cases Removed"	1.30434782608696
432	0.64712389380531	"AUROC"	" CYP2D6"	"RF"	27	" Scaffold"	"cutoff6"	" Original"	2.60869565217391
433	1	"AUROC"	" CYP2D6"	"RF"	27	" Scaffold"	"cutoff6"	"Edge Cases Removed"	2.60869565217391
440	0.846238938053097	"AUROC"	" CYP2D6"	"RF"	27	"Random"	"cutoff6"	" Original"	0
441	0.846238938053097	"AUROC"	" CYP2D6"	"RF"	27	"Random"	"cutoff6"	"Edge Cases Removed"	0
448	0.548363095238095	"AUROC"	" CYP2D6"	"RF"	28	" Scaffold"	"cutoff6"	" Original"	0
449	0.548363095238095	"AUROC"	" CYP2D6"	"RF"	28	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
456	0.71570796460177	"AUROC"	" CYP2D6"	"RF"	28	"Random"	"cutoff6"	" Original"	1.73913043478261
