"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"5. PhysChem Descriptors"	"5. PhysChem Descriptors"	"RMSE"	"Aurora-A"	" Scaffold"	1	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"4. AtomPairs"	"RMSE"	"Aurora-A"	" Scaffold"	4.73402068419889e-11	"ranksums"	"<0.05"
"4. AtomPairs"	"1. MorganBits"	"RMSE"	"Aurora-A"	" Scaffold"	0.219782260816141	"ranksums"	">=0.05"
"4. AtomPairs"	"2. MorganCounts"	"RMSE"	"Aurora-A"	" Scaffold"	0.43328979562189	"ranksums"	">=0.05"
"4. AtomPairs"	"3. MACCS"	"RMSE"	"Aurora-A"	" Scaffold"	2.40252813796507e-06	"ranksums"	"<0.05"
"4. AtomPairs"	"0. RDKit Descriptors"	"RMSE"	"Aurora-A"	" Scaffold"	8.93338459269216e-05	"ranksums"	"<0.05"
"4. AtomPairs"	"5. PhysChem Descriptors"	"RMSE"	"Aurora-A"	" Scaffold"	4.73402068419889e-11	"ranksums"	"<0.05"
"4. AtomPairs"	"4. AtomPairs"	"RMSE"	"Aurora-A"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"1. MorganBits"	"RMSE"	"B-raf"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"RMSE"	"B-raf"	" Scaffold"	0.744986300175643	"ranksums"	">=0.05"
"1. MorganBits"	"3. MACCS"	"RMSE"	"B-raf"	" Scaffold"	0.00268883998175647	"ranksums"	"<0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"RMSE"	"B-raf"	" Scaffold"	0.100782631798322	"ranksums"	">=0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"RMSE"	"B-raf"	" Scaffold"	4.8848156981151e-08	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"RMSE"	"B-raf"	" Scaffold"	0.646724577343484	"ranksums"	">=0.05"
